index,region,reqhospit,travtimesfrombases,travttonearesth,onsitetime,traveltfromhtobases,inqueue,time_request,response_time,timetoHospital,finishedService,servedbyAmbIndex
4113,8,1,"[46.467, 39.833, 62.467, 24.567, 72.883]",24.567,60.0,"[61.883, 39.417, 62.75, 0.0, 83.917]",false,36.97,65.537,0.0,125.537,76
4114,8,1,"[51.583, 66.483, 74.983, 94.967, 23.933]",23.933,60.0,"[41.0, 55.25, 63.75, 82.133, 0.0]",false,49.19,77.12299999999999,161.05599999999998,161.05599999999998,77
649,2,0,"[15.65, 48.917, 46.083]",15.65,60.0,"[0.0, 43.117, 55.283]",false,72.73,92.38,0.0,152.38,12
4115,8,1,"[42.867, 33.3, 58.1, 23.55, 69.3]",23.55,60.0,"[61.883, 39.417, 62.75, 0.0, 83.917]",false,90.58,127.88,211.43,250.847,72
2833,6,0,"[28.317, 43.867]",28.317,60.0,"[0.0, 46.183]",false,96.84,129.157,0.0,189.157,44
1,1,0,"[23.3, 34.0, 49.4, 7.25, 37.217]",7.25,60.0,"[18.617, 29.283, 44.167, 0.0, 39.4]",false,98.23,109.48,0.0,169.48000000000002,7
3041,7,0,"[55.15, 95.933, 20.483, 98.2, 71.95, 27.75]",20.483,60.0,"[59.283, 100.35, 0.0, 102.117, 75.633, 34.183]",false,101.3,125.783,0.0,185.78300000000002,52
6625,9,0,"[52.333, 35.917]",35.917,60.0,"[42.35, 0.0]",false,104.77,144.687,0.0,204.687,82
1057,3,0,"[36.6, 66.983, 3.617, 66.183, 56.383]",3.617,60.0,"[38.183, 69.667, 0.0, 68.317, 57.717]",false,131.69,139.307,0.0,199.307,23
4116,8,0,"[24.633, 39.85, 44.117, 68.333, 27.017]",24.633,60.0,"[0.0, 29.783, 44.683, 56.683, 40.533]",false,170.17,198.803,0.0,258.803,63
1633,4,0,"[63.367, 98.317, 11.083]",11.083,60.0,"[66.033, 101.5, 0.0]",false,195.5,210.583,0.0,270.58299999999997,31
1977,5,0,"[92.333, 102.933, 37.183, 15.217, 88.483]",15.217,60.0,"[96.55, 107.233, 39.25, 0.0, 90.7]",false,196.25,215.46699999999998,0.0,275.467,37
4117,8,0,"[11.167, 31.183, 45.517, 59.667, 36.317]",11.167,60.0,"[0.0, 29.783, 44.683, 56.683, 40.533]",false,202.07,217.237,0.0,277.23699999999997,64
650,2,1,"[11.283, 40.3, 56.917]",11.283,60.0,"[0.0, 43.117, 55.283]",false,220.71,235.993,307.276,307.276,12
3042,7,0,"[50.367, 91.15, 31.783, 93.417, 67.167, 26.833]",26.833,60.0,"[39.85, 77.517, 31.517, 82.683, 56.2, 0.0]",false,229.32,260.153,0.0,320.153,60
6626,9,1,"[49.067, 32.667]",32.667,60.0,"[42.35, 0.0]",false,243.35,280.017,372.68399999999997,372.68399999999997,82
3043,7,1,"[46.95, 24.617, 87.833, 49.767, 38.933, 68.4]",24.617,60.0,"[57.933, 0.0, 99.7, 66.367, 50.483, 74.033]",false,281.95,310.567,395.184,395.184,50
4118,8,0,"[40.917, 30.5, 4.55, 58.983, 62.583]",4.55,60.0,"[47.733, 35.35, 0.0, 62.25, 63.933]",false,300.26,308.81,0.0,368.81,74
1978,5,0,"[26.983, 25.267, 77.15, 92.4, 11.283]",11.283,60.0,"[29.567, 27.383, 76.7, 92.4, 0.0]",false,319.57,334.853,0.0,394.853,38
4119,8,0,"[57.233, 46.8, 31.083, 75.283, 82.683]",31.083,60.0,"[47.733, 35.35, 0.0, 62.25, 63.933]",false,336.55,364.3588864847385,0.0,446.16777296947697,1001
1979,5,1,"[32.9, 44.75, 49.9, 65.167, 30.3]",30.3,60.0,"[29.567, 27.383, 76.7, 92.4, 0.0]",false,340.97,375.27000000000004,465.57000000000005,465.57000000000005,39
4120,8,1,"[36.067, 51.333, 50.8, 79.817, 41.65]",36.067,60.0,"[0.0, 29.783, 44.683, 56.683, 40.533]",false,364.97,405.03700000000003,501.10400000000004,501.10400000000004,63
4121,8,0,"[53.533, 68.433, 76.933, 96.917, 20.5]",20.5,60.0,"[41.0, 55.25, 63.75, 82.133, 0.0]",false,378.59,403.09,0.0,463.09,77
4122,8,1,"[41.917, 30.983, 25.167, 58.233, 67.383]",25.167,60.0,"[47.733, 35.35, 0.0, 62.25, 63.933]",false,387.97,417.13700000000006,502.3040000000001,502.3040000000001,74
1634,4,1,"[15.617, 50.567, 51.7]",15.617,60.0,"[0.0, 39.167, 65.783]",false,393.74,413.357,488.97400000000005,488.97400000000005,27
2,1,0,"[20.65, 28.867, 44.267, 10.133, 42.9]",10.133,60.0,"[18.617, 29.283, 44.167, 0.0, 39.4]",false,400.87,415.003,0.0,475.003,7
1058,3,1,"[45.333, 61.833, 18.817, 66.367, 68.417]",18.817,60.0,"[38.183, 69.667, 0.0, 68.317, 57.717]",false,432.04,454.857,0.0,514.857,23
3,1,0,"[29.917, 44.367, 26.8, 36.55, 69.083]",26.8,60.0,"[45.883, 33.417, 0.0, 44.233, 74.1]",false,452.41,483.21000000000004,0.0,543.21,5
4,1,1,"[64.683, 81.967, 97.383, 62.55, 29.683]",29.683,60.0,"[53.25, 59.75, 74.633, 39.267, 0.0]",false,457.46,491.143,580.826,580.826,11
5,1,0,"[69.433, 89.283, 104.683, 69.867, 36.983]",36.983,60.0,"[53.25, 59.75, 74.633, 39.267, 0.0]",false,457.86,531.293,0.0,644.543,1
3044,7,1,"[63.283, 18.067, 104.167, 67.667, 55.267, 84.733]",18.067,60.0,"[57.933, 0.0, 99.7, 66.367, 50.483, 74.033]",false,474.33,496.397,574.4639999999999,574.4639999999999,50
6627,9,1,"[40.267, 7.95]",7.95,60.0,"[42.35, 0.0]",false,477.86,489.81,557.76,557.76,82
6628,9,0,"[16.433, 51.783]",16.433,60.0,"[0.0, 44.55]",false,497.6,518.033,0.0,578.033,79
1635,4,0,"[58.267, 89.283, 29.617]",29.617,60.0,"[66.033, 101.5, 0.0]",false,500.54,534.157,0.0,594.157,31
4123,8,1,"[53.4, 68.3, 76.8, 96.767, 20.35]",20.35,60.0,"[41.0, 55.25, 63.75, 82.133, 0.0]",false,501.29,525.64,605.99,605.99,77
3045,7,0,"[25.833, 66.633, 58.817, 68.883, 42.65, 39.383]",25.833,60.0,"[0.0, 59.45, 58.917, 50.7, 24.2, 42.4]",false,505.41,535.243,0.0,595.243,48
6629,9,1,"[38.283, 29.467]",29.467,60.0,"[42.35, 0.0]",false,522.33,555.797,0.0,615.797,83
